City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.7,94,100,20.87,TF,2023-10-03 20:03:08
1,waitangi,-43.9535,-176.5597,9.34,79,98,2.68,NZ,2023-10-03 20:03:08
2,bongaree,-27.0797,153.1586,21.79,92,100,1.85,AU,2023-10-03 20:00:09
3,puerto natales,-51.7236,-72.4875,13.25,47,40,12.35,CL,2023-10-03 20:03:09
4,klyuchi,52.2667,79.1667,6.28,51,1,2.64,RU,2023-10-03 20:03:09
5,iqaluit,63.7506,-68.5145,1.85,87,100,9.77,CA,2023-10-03 20:03:09
6,grytviken,-54.2811,-36.5092,2.07,60,100,1.7,GS,2023-10-03 20:03:09
7,atafu village,-8.5421,-172.5159,29.06,76,25,7.93,TK,2023-10-03 20:03:09
8,thompson,55.7435,-97.8558,9.09,93,100,2.06,CA,2023-10-03 20:01:44
9,longyearbyen,78.2186,15.6401,-3.09,63,75,4.63,SJ,2023-10-03 20:03:10
10,albany,42.6001,-73.9662,29.26,64,2,0.89,US,2023-10-03 20:00:02
11,carnarvon,-24.8667,113.6333,19.68,56,0,10.03,AU,2023-10-03 20:00:12
12,jeddah,21.5169,39.2192,30.92,62,0,0.0,SA,2023-10-03 20:03:10
13,hermanus,-34.4187,19.2345,15.46,86,95,4.8,ZA,2023-10-03 20:03:10
14,talnakh,69.4865,88.3972,-0.44,94,100,7.46,RU,2023-10-03 20:03:10
15,tarawa,1.419,172.984,29.05,79,40,2.57,KI,2023-10-03 20:03:10
16,punta arenas,-53.15,-70.9167,11.06,58,40,10.29,CL,2023-10-03 20:03:10
17,koksan,38.7819,126.6664,10.73,87,2,0.22,KP,2023-10-03 20:03:11
18,puerto ayora,-0.7393,-90.3518,30.98,89,80,2.68,EC,2023-10-03 20:03:11
19,ciudad lazaro cardenas,17.9583,-102.2,30.61,66,99,4.04,MX,2023-10-03 19:59:05
20,wailua homesteads,22.0669,-159.378,27.85,65,0,3.6,US,2023-10-03 20:03:11
21,redencao,-4.2258,-38.7306,28.62,53,38,4.67,BR,2023-10-03 20:03:11
22,klaksvik,62.2266,-6.589,8.51,78,94,9.79,FO,2023-10-03 20:03:11
23,bejaia,36.7559,5.0843,23.6,83,0,4.12,DZ,2023-10-03 20:03:11
24,kavaratti,10.5669,72.642,27.24,77,78,2.17,IN,2023-10-03 20:03:12
25,kodiak,57.79,-152.4072,8.73,43,0,6.69,US,2023-10-03 20:03:12
26,kasongo-lunda,-6.4667,16.8167,23.04,95,100,0.96,CD,2023-10-03 20:03:12
27,bubaque,11.2833,-15.8333,27.97,80,99,4.05,GW,2023-10-03 20:03:12
28,navapolatsk,55.5363,28.6424,18.37,58,100,6.93,BY,2023-10-03 20:03:12
29,margaret river,-33.95,115.0667,12.8,69,91,0.71,AU,2023-10-03 20:03:12
30,ribeira brava,32.65,-17.0667,24.35,78,99,2.49,PT,2023-10-03 20:03:12
31,fale old settlement,-9.3852,-171.2468,28.57,78,23,9.05,TK,2023-10-03 20:03:12
32,yelizovo,53.1873,158.3805,8.78,100,75,3.13,RU,2023-10-03 20:03:13
33,kyzyl-suu,42.3414,78.0056,9.41,51,0,2.14,KG,2023-10-03 20:03:13
34,east london,-33.0153,27.9116,19.12,79,30,3.94,ZA,2023-10-03 20:03:13
35,argostolion,38.1811,20.489,20.97,44,0,0.0,GR,2023-10-03 20:03:13
36,zeya,53.75,127.2667,7.16,92,100,0.89,RU,2023-10-03 20:03:13
37,port elizabeth,-33.918,25.5701,18.94,87,40,2.06,ZA,2023-10-03 20:03:13
38,isafjordur,66.0755,-23.124,3.71,98,100,4.93,IS,2023-10-03 20:03:13
39,mirabad,30.4362,61.8383,29.32,13,0,4.25,AF,2023-10-03 20:03:13
40,ushuaia,-54.8,-68.3,10.81,54,40,7.2,AR,2023-10-03 20:01:27
41,alhama de granada,37.0069,-3.9896,24.77,79,100,2.12,ES,2023-10-03 20:03:14
42,tazovsky,67.4667,78.7,1.09,82,8,7.37,RU,2023-10-03 20:03:14
43,tiksi,71.6872,128.8694,-3.18,92,100,2.01,RU,2023-10-03 20:03:14
44,yellowknife,62.456,-114.3525,11.34,80,40,2.06,CA,2023-10-03 20:01:05
45,huayin,34.5675,110.0921,18.65,87,100,1.25,CN,2023-10-03 20:03:14
46,hadibu,12.65,54.0333,26.96,80,2,0.6,YE,2023-10-03 20:03:14
47,edinburgh of the seven seas,-37.0676,-12.3116,9.99,66,82,7.11,SH,2023-10-03 20:03:14
48,gadzhiyevo,69.2551,33.3362,3.5,79,100,1.36,RU,2023-10-03 20:03:14
49,monte alegre,-2.0078,-54.0692,36.23,34,89,3.41,BR,2023-10-03 20:03:15
50,nayoro,44.3506,142.4578,10.59,88,100,1.08,JP,2023-10-03 20:03:15
51,turaif,31.6725,38.6637,21.14,64,75,2.57,SA,2023-10-03 20:03:15
52,west island,-12.1568,96.8225,24.99,69,100,6.69,CC,2023-10-03 20:03:15
53,howrah,22.5892,88.3103,27.0,94,75,3.6,IN,2023-10-03 20:03:15
54,nadym,65.5333,72.5167,0.88,78,33,4.03,RU,2023-10-03 20:03:15
55,bilibino,68.0546,166.4372,-15.02,97,79,2.2,RU,2023-10-03 20:03:15
56,changyon,38.2508,125.0961,15.33,77,6,2.47,KP,2023-10-03 20:00:39
57,constantia,44.1833,28.65,13.38,62,7,3.43,RO,2023-10-03 20:03:13
58,papatowai,-46.5619,169.4708,14.13,29,100,3.57,NZ,2023-10-03 20:03:16
59,gazli,40.1333,63.45,20.06,23,0,4.66,UZ,2023-10-03 20:03:16
60,suva,-18.1416,178.4415,24.71,69,75,6.17,FJ,2023-10-03 20:03:06
61,sisimiut,66.9395,-53.6735,1.79,74,39,2.33,GL,2023-10-03 20:03:16
62,quarai,-30.3875,-56.4514,22.76,72,30,4.66,BR,2023-10-03 20:03:16
63,chonchi,-42.6128,-73.8092,12.84,73,84,0.38,CL,2023-10-03 20:03:17
64,rio grande,-32.035,-52.0986,20.06,85,82,6.12,BR,2023-10-03 20:03:17
65,invercargill,-46.4,168.35,9.63,51,100,5.66,NZ,2023-10-03 20:03:17
66,conception bay south,47.4999,-52.9981,16.14,82,100,3.34,CA,2023-10-03 20:03:17
67,broken hill,-31.95,141.4333,8.01,84,100,8.11,AU,2023-10-03 20:00:44
68,novodolinskiy,49.705,72.7047,2.32,65,1,2.56,KZ,2023-10-03 20:03:17
69,namibe,-15.1961,12.1522,21.43,86,90,3.25,AO,2023-10-03 20:03:18
70,flying fish cove,-10.4217,105.6791,23.82,83,100,6.17,CX,2023-10-03 20:03:18
71,tyukhtet,56.5389,89.3011,3.69,88,15,2.73,RU,2023-10-03 20:03:18
72,adamstown,-25.066,-130.1015,20.49,72,54,8.54,PN,2023-10-03 20:03:18
73,tateyama,34.9833,139.8667,20.05,94,100,3.09,JP,2023-10-03 20:03:18
74,khadan khak,30.7477,67.7085,15.88,21,0,3.48,PK,2023-10-03 20:03:18
75,whitehorse,60.7161,-135.0538,1.17,98,100,4.63,CA,2023-10-03 20:03:18
76,qaqortoq,60.7167,-46.0333,2.49,93,97,0.86,GL,2023-10-03 20:03:19
77,tsiombe,-25.3,45.4833,18.93,62,0,5.11,MG,2023-10-03 20:03:19
78,la passe,45.5549,-0.8967,18.32,69,100,4.67,FR,2023-10-03 20:03:19
79,lebu,-37.6167,-73.65,11.73,62,16,4.61,CL,2023-10-03 20:03:19
80,padang,-0.9492,100.3543,23.03,89,100,1.5,ID,2023-10-03 20:03:19
81,prado,-17.3411,-39.2208,25.57,77,100,7.59,BR,2023-10-03 20:03:19
82,basoko,1.2391,23.616,24.12,86,79,0.78,CD,2023-10-03 20:03:19
83,saipan,15.1355,145.701,27.39,83,40,6.17,MP,2023-10-03 20:03:20
84,khark,29.2614,50.3306,32.54,63,0,6.18,IR,2023-10-03 20:03:20
85,naze,28.3667,129.4833,23.51,88,9,3.24,JP,2023-10-03 20:01:21
86,kaa-khem,51.6833,94.7333,7.45,52,3,1.48,RU,2023-10-03 20:03:20
87,soritor,-6.1392,-77.1039,27.51,71,81,0.92,PE,2023-10-03 20:03:20
88,inhambane,-23.865,35.3833,20.0,77,20,2.24,MZ,2023-10-03 20:03:20
89,morondava,-20.2833,44.2833,25.16,69,25,3.48,MG,2023-10-03 20:03:20
90,bredasdorp,-34.5322,20.0403,13.99,94,84,2.49,ZA,2023-10-03 20:03:20
91,anadyr,64.75,177.4833,1.28,59,0,5.81,RU,2023-10-03 20:03:21
92,st. john's,47.5649,-52.7093,16.27,81,100,3.6,CA,2023-10-03 20:00:08
93,kapuskasing,49.4169,-82.4331,30.05,42,20,6.69,CA,2023-10-03 20:02:06
94,bairnsdale,-37.8333,147.6167,10.59,98,100,0.45,AU,2023-10-03 20:03:21
95,khandyga,62.6667,135.6,5.28,95,100,0.82,RU,2023-10-03 20:03:21
96,tahe,52.3333,124.7333,2.21,83,100,4.5,CN,2023-10-03 20:03:21
97,hawaiian paradise park,19.5933,-154.9731,27.8,77,20,2.57,US,2023-10-03 20:03:21
98,blackmans bay,-43.0167,147.3167,8.62,80,100,0.97,AU,2023-10-03 20:03:21
99,alaghsas,17.0187,8.0168,33.86,22,100,5.4,NE,2023-10-03 20:03:22
100,aghajari,30.7006,49.8315,34.04,17,0,3.04,IR,2023-10-03 20:03:22
101,arraial do cabo,-22.9661,-42.0278,22.98,78,75,4.12,BR,2023-10-03 20:03:22
102,bethel,41.3712,-73.414,28.56,61,0,1.54,US,2023-10-03 20:03:22
103,labytnangi,66.6572,66.4183,2.25,84,100,2.89,RU,2023-10-03 20:03:22
104,college,64.8569,-147.8028,0.04,91,100,3.09,US,2023-10-03 20:00:01
105,olonkinbyen,70.9221,-8.7187,0.8,63,100,6.62,SJ,2023-10-03 20:03:22
106,polyarnyy,69.1989,33.4478,3.73,80,100,1.32,RU,2023-10-03 20:03:22
107,ribeira grande,38.5167,-28.7,22.22,83,75,7.2,PT,2023-10-03 20:03:22
108,grand falls-windsor,48.9332,-55.6649,9.71,96,100,1.92,CA,2023-10-03 20:03:23
109,hasaki,35.7333,140.8333,20.22,59,100,5.44,JP,2023-10-03 20:03:23
